acc1,acc2,acc3,acc4,acc5,acc6,acc7,acc8,acc9,acc10,acc11,acc12,acc13,acc14,acc15,simbology
5, -21, 24, 3, 30, -5, -5, 27, -11, -6, 29, -8, -4, 30, 6,G
6, -20, 24, 3, 31, -4, -6, 27, -11, -7, 29, -8, -5, 30, 6,G
5, -19, 25, 3, 31, -6, -6, 27, -11, -7, 29, -9, -5, 30, 5,G
6, -19, 25, 3, 31, -5, -6, 27, -11, -7, 29, -8, -6, 30, 6,G
6, -21, 23, 3, 32, -3, -7, 28, -11, -9, 29, -7, -7, 29, 6,G
5, -30, 26, 6, 31, -3, -5, 24, -9, -6, 26, -8, -7, 27, 5,G
8, -20, 21, 2, 27, -1, -11, 24, -7, -12, 25, -5, -12, 27, 7,G
8, -16, 24, 3, 30, -3, -7, 26, -10, -8, 28, -7, -5, 28, 6,G
10, -25, 25, 5, 32, 1, -10, 29, -9, -10, 31, -6, -7, 31, 7,G
10, -20, 26, 6, 29, -2, -5, 27, -9, -6, 29, -6, -4, 29, 6,G
9, -16, 27, 6, 31, -4, -4, 29, -11, -6, 31, -8, -4, 31, 6,G
6, -13, 28, 1, 33, -4, -6, 30, -12, -5, 32, -8, -2, 33, 6,G
6, -15, 29, 4, 33, -7, -4, 31, -12, -6, 32, -8, -3, 33, 6,G
7, -15, 29, 7, 30, -9, 1, 28, -12, -1, 30, -8, 0, 30, 4,G
7, -15, 28, 6, 29, -7, -1, 27, -10, -3, 29, -7, -1, 30, 6,G
8, -12, 27, 4, 30, -5, -3, 28, -10, -5, 30, -7, -3, 31, 6,G
6, -16, 29, 4, 32, -7, -3, 29, -13, -4, 31, -9, -2, 33, 5,G
6, -15, 29, 3, 32, -6, -4, 29, -12, -6, 31, -9, -4, 32, 5,G
6, -14, 28, 4, 31, -7, -3, 29, -13, -5, 30, -10, -2, 32, 4,G
6, -15, 28, 4, 31, -6, -3, 28, -12, -5, 29, -9, -3, 31, 5,G
6, -14, 29, 4, 31, -8, -3, 28, -12, -5, 30, -9, -4, 31, 4,G
6, -13, 28, 4, 31, -6, -3, 27, -12, -5, 29, -8, -3, 30, 5,G
6, -16, 28, 3, 32, -6, -4, 29, -12, -5, 30, -9, -4, 32, 5,G
6, -15, 27, 4, 31, -7, -3, 28, -12, -4, 30, -9, -2, 31, 4,G
6, -15, 28, 4, 31, -6, -4, 28, -11, -5, 29, -8, -4, 31, 5,G
6, -14, 27, 4, 31, -6, -4, 27, -12, -5, 29, -9, -3, 30, 4,G
6, -16, 28, 3, 32, -6, -4, 28, -12, -6, 30, -9, -4, 31, 5,G
6, -15, 27, 3, 31, -6, -4, 27, -12, -5, 29, -9, -4, 30, 4,G
6, -16, 28, 3, 31, -5, -4, 28, -11, -6, 29, -9, -4, 31, 4,G
5, -16, 28, 3, 32, -6, -4, 29, -13, -6, 30, -10, -4, 32, 4,G
6, -16, 28, 3, 31, -6, -4, 28, -12, -5, 29, -9, -4, 30, 5,G
6, -16, 27, 3, 32, -5, -5, 28, -12, -6, 30, -9, -4, 31, 5,G
6, -15, 27, 2, 31, -6, -4, 28, -12, -5, 30, -9, -3, 31, 5,G
6, -14, 28, 3, 30, -5, -4, 27, -12, -5, 29, -9, -4, 30, 5,G
6, -15, 28, 3, 31, -6, -4, 28, -12, -5, 29, -9, -3, 31, 4,G
6, -16, 27, 3, 32, -6, -4, 28, -12, -5, 30, -9, -3, 31, 5,G
6, -16, 27, 3, 31, -6, -4, 28, -12, -5, 29, -9, -4, 31, 4,G
5, -16, 28, 2, 31, -6, -4, 28, -12, -6, 30, -9, -4, 31, 4,G
6, -16, 27, 2, 31, -5, -5, 28, -12, -5, 30, -9, -4, 31, 5,G
6, -15, 28, 2, 31, -5, -5, 28, -12, -6, 29, -9, -4, 31, 5,G
6, -17, 27, 3, 31, -6, -4, 28, -13, -6, 30, -9, -4, 31, 5,G
6, -16, 28, 3, 31, -7, -4, 28, -13, -5, 29, -10, -3, 31, 4,G
6, -15, 27, 3, 30, -6, -4, 27, -12, -5, 29, -9, -3, 30, 4,G
6, -15, 28, 2, 31, -6, -3, 28, -13, -5, 30, -10, -4, 31, 4,G
6, -16, 28, 3, 31, -6, -4, 28, -12, -6, 30, -9, -4, 31, 4,G
6, -15, 27, 2, 32, -6, -4, 28, -12, -6, 30, -9, -4, 30, 4,G
6, -16, 27, 3, 31, -6, -4, 28, -13, -5, 29, -9, -4, 31, 5,G
6, -16, 27, 3, 31, -6, -4, 28, -12, -5, 29, -9, -4, 31, 5,G
6, -16, 27, 2, 32, -5, -5, 28, -13, -6, 30, -9, -4, 31, 5,G
6, -15, 27, 2, 31, -6, -4, 27, -12, -5, 29, -9, -4, 31, 5,G
6, -14, 27, 3, 31, -8, -4, 27, -12, -5, 29, -9, -3, 31, 4,G
5, -16, 28, -2, 30, -5, -5, 27, -13, -5, 29, -9, -3, 30, 4,G
5, -15, 28, 0, 32, -5, -5, 28, -13, -6, 30, -10, -4, 31, 4,G
6, -16, 28, 2, 31, -7, -4, 28, -13, -6, 30, -9, -5, 30, 5,G
6, -12, 29, 1, 31, -7, -4, 27, -12, -6, 29, -9, -4, 31, 4,G
6, -14, 27, 1, 30, -7, -4, 27, -12, -6, 29, -9, -4, 30, 5,G
6, -16, 29, 0, 33, -7, -5, 29, -14, -7, 31, -10, -5, 32, 5,G
6, -15, 29, 1, 31, -8, -4, 28, -12, -6, 29, -9, -4, 31, 4,G
6, -14, 28, 1, 31, -7, -4, 28, -12, -6, 29, -9, -4, 31, 4,G
9, -10, 29, 0, 32, -6, -5, 30, -13, -7, 32, -8, -5, 32, 6,G
9, -9, 30, 2, 33, -8, -5, 29, -13, -7, 30, -10, -5, 32, 4,G
9, -10, 28, 1, 30, -7, -4, 28, -12, -7, 29, -9, -5, 31, 4,G
8, -10, 29, 1, 31, -7, -5, 28, -12, -6, 29, -9, -4, 31, 4,G
9, -10, 28, 2, 30, -7, -4, 27, -12, -6, 29, -9, -5, 31, 4,G
8, -11, 29, 1, 31, -6, -4, 28, -12, -6, 30, -9, -4, 31, 4,G
8, -11, 29, 0, 31, -7, -5, 28, -12, -7, 29, -9, -6, 30, 4,G
9, -11, 29, 1, 30, -6, -4, 28, -12, -6, 29, -9, -4, 31, 4,G
8, -12, 29, 1, 31, -6, -5, 28, -12, -6, 30, -10, -4, 31, 4,G
8, -11, 29, 1, 31, -6, -4, 28, -12, -6, 29, -9, -5, 30, 4,G
8, -13, 30, 1, 32, -5, -6, 29, -12, -7, 31, -9, -5, 32, 5,G
11, -22, 30, 1, 35, -2, -8, 33, -12, -9, 34, -9, -5, 35, 6,G
6, 10, 28, 4, 24, -21, 9, 23, -13, 6, 26, -10, 5, 28, 2,G
7, 11, 30, 6, 23, -24, 14, 24, -15, 11, 27, -11, 12, 28, 2,G
13, 9, 29, 8, 23, -21, 12, 24, -12, 9, 27, -9, 10, 27, 2,G
12, -2, 31, 7, 26, -16, 9, 27, -12, 7, 30, -9, 10, 31, 3,G
11, -6, 32, 6, 26, -16, 10, 28, -14, 11, 31, -12, 15, 33, 0,G
9, 9, 30, 7, 24, -22, 13, 25, -13, 11, 28, -10, 13, 29, 3,G
9, 12, 30, 7, 23, -24, 15, 24, -12, 11, 26, -9, 12, 27, 4,G
10, 9, 30, 8, 21, -23, 16, 23, -12, 14, 26, -10, 16, 27, 1,G
10, 9, 30, 8, 23, -23, 14, 25, -13, 12, 28, -8, 14, 28, 5,G
13, 5, 29, 8, 22, -20, 12, 26, -10, 12, 29, -8, 15, 29, 2,G
11, 6, 31, 8, 22, -21, 13, 26, -10, 12, 29, -7, 14, 29, 5,G
11, 7, 30, 8, 22, -22, 13, 26, -10, 11, 29, -7, 13, 28, 5,G
11, 6, 30, 7, 23, -20, 11, 27, -9, 9, 29, -6, 12, 28, 6,G
5, 19, 26, 0, 34, -30, 4, 35, -16, -1, 39, -7, -2, 39, 13,G
16, -20, 25, 8, 29, -6, -4, 30, -9, -6, 32, -4, -3, 31, 12,G
16, -15, 21, 3, 33, 1, -13, 28, -4, -13, 29, 0, -10, 27, 14,G
8, -26, 23, 4, 34, 0, -11, 31, -7, -11, 32, -4, -8, 30, 13,G
11, -21, 22, 7, 33, -4, -8, 30, -9, -10, 31, -5, -9, 29, 12,G
12, -23, 21, 6, 32, -2, -11, 29, -9, -12, 31, -5, -9, 30, 12,G
11, -20, 22, 6, 32, -4, -9, 28, -9, -12, 29, -5, -10, 27, 11,G
11, -22, 22, 6, 29, -3, -8, 26, -8, -10, 28, -5, -8, 27, 10,G
10, -23, 22, 5, 32, -2, -10, 28, -8, -11, 29, -5, -8, 28, 10,G
10, -20, 24, 4, 33, -4, -8, 30, -12, -10, 32, -5, -8, 29, 11,G
13, -17, 23, 5, 31, -4, -7, 28, -8, -10, 29, -5, -9, 29, 12,G
11, -20, 24, 4, 31, -3, -8, 28, -8, -10, 29, -5, -7, 28, 10,G
12, -19, 23, 4, 30, -3, -8, 27, -8, -10, 29, -5, -8, 27, 9,G
12, -20, 23, 3, 32, -2, -10, 28, -8, -11, 29, -5, -8, 29, 10,G
11, -18, 23, 4, 32, -2, -10, 28, -7, -11, 29, -4, -10, 28, 11,G
11, -20, 24, 4, 32, -2, -9, 28, -8, -10, 29, -5, -7, 29, 9,G
11, -19, 23, 4, 32, -2, -9, 28, -8, -11, 29, -5, -9, 28, 10,G
10, -21, 24, 3, 32, -2, -9, 28, -7, -11, 29, -5, -9, 29, 10,G
11, -19, 23, 3, 32, -2, -10, 28, -8, -12, 29, -5, -10, 28, 10,G
11, -21, 23, 3, 32, -2, -10, 28, -8, -11, 29, -5, -8, 29, 9,G
11, -20, 22, 3, 32, -2, -10, 29, -8, -12, 30, -5, -10, 29, 10,G
11, -21, 23, 4, 32, -2, -10, 28, -7, -11, 29, -5, -9, 28, 9,G
11, -20, 22, 4, 31, -2, -9, 27, -7, -11, 28, -5, -9, 27, 9,G
10, -19, 23, 3, 32, -2, -10, 28, -8, -11, 29, -5, -9, 28, 9,G
10, -20, 23, 4, 31, -2, -9, 28, -7, -11, 29, -5, -9, 28, 10,G
11, -20, 23, 4, 31, -2, -10, 28, -7, -11, 29, -4, -9, 28, 10,G
10, -20, 23, 3, 32, -2, -10, 28, -8, -11, 29, -5, -9, 29, 10,G
10, -20, 23, 3, 32, -2, -10, 28, -7, -11, 29, -5, -9, 28, 10,G
10, -20, 23, 3, 32, -2, -10, 28, -7, -11, 29, -4, -9, 28, 10,G
10, -20, 23, 3, 32, -2, -10, 28, -7, -12, 29, -5, -10, 28, 10,G
11, -21, 23, 4, 31, -1, -10, 28, -7, -12, 29, -5, -10, 28, 10,G
10, -20, 23, 3, 32, -1, -10, 28, -7, -11, 29, -5, -9, 28, 10,G
10, -20, 23, 3, 32, -1, -10, 28, -7, -12, 29, -5, -9, 28, 10,G
10, -21, 24, 3, 32, -2, -10, 28, -7, -12, 29, -5, -10, 28, 10,G
10, -20, 23, 4, 31, -1, -10, 28, -7, -11, 29, -5, -9, 28, 9,G
6, -13, 29, 2, 32, -2, -3, 29, -9, -5, 23, -20, 1, 31, -4,H
7, -13, 28, 3, 32, -1, -4, 29, -9, -5, 24, -20, 1, 32, -4,H
6, -13, 29, 3, 32, -2, -4, 30, -9, -5, 23, -20, 1, 31, -3,H
7, -13, 29, 3, 32, -2, -4, 29, -9, -5, 23, -20, 1, 31, -3,H
6, -13, 29, 2, 32, -1, -4, 30, -8, -6, 24, -19, 0, 31, -3,H
6, -13, 28, 3, 32, -1, -4, 30, -9, -6, 24, -19, 0, 31, -4,H
6, -14, 29, 2, 32, -1, -4, 29, -8, -6, 23, -19, 0, 31, -4,H
6, -13, 29, 2, 33, -1, -4, 30, -9, -6, 24, -19, 0, 32, -3,H
6, -13, 29, 3, 32, -2, -3, 29, -9, -5, 24, -20, 0, 31, -4,H
6, -13, 29, 3, 32, -2, -4, 30, -9, -6, 24, -20, 0, 31, -4,H
6, -13, 28, 3, 32, -2, -4, 29, -8, -6, 24, -19, 0, 31, -3,H
6, -12, 29, 2, 32, -1, -4, 30, -8, -5, 23, -19, 0, 31, -3,H
6, -13, 28, 3, 31, -2, -3, 29, -9, -5, 23, -19, 0, 31, -4,H
6, -14, 29, 2, 32, -1, -4, 30, -8, -6, 24, -19, 0, 31, -3,H
6, -14, 29, 3, 32, -2, -3, 30, -9, -5, 24, -19, 1, 31, -4,H
7, -12, 28, 3, 32, -2, -3, 30, -9, -5, 24, -20, 1, 31, -4,H
6, -13, 29, 3, 32, -1, -3, 30, -8, -5, 24, -19, 0, 31, -4,H
6, -13, 29, 2, 32, -2, -3, 30, -9, -6, 24, -19, -1, 31, -3,H
6, -16, 29, 3, 32, -1, -3, 30, -8, -6, 23, -19, 0, 31, -4,H
7, -14, 29, 3, 32, -2, -3, 29, -9, -5, 23, -20, 1, 31, -4,H
6, -12, 29, 3, 32, -2, -3, 29, -9, -5, 24, -19, 0, 31, -4,H
6, -13, 28, 3, 32, -2, -4, 29, -8, -6, 24, -19, 0, 31, -3,H
6, -15, 29, 3, 32, -1, -3, 29, -8, -6, 23, -19, 0, 31, -4,H
6, -14, 28, 2, 32, -1, -4, 30, -9, -6, 24, -20, 0, 32, -5,H
6, -13, 28, 3, 31, 0, -3, 30, -7, -7, 23, -18, -2, 30, -3,H
6, -14, 30, 3, 28, 0, -3, 32, -10, -6, 25, -21, 0, 34, -4,H
5, -15, 29, 4, 32, 0, -3, 31, -8, -7, 25, -19, -2, 32, -3,H
6, -13, 28, 5, 32, 1, -2, 30, -6, -7, 24, -18, -2, 30, -3,H
7, -15, 28, 4, 33, 0, -1, 31, -7, -7, 24, -19, 0, 31, -4,H
6, -15, 28, 5, 32, -1, -1, 30, -7, -6, 23, -18, 0, 31, -4,H
6, -15, 29, 4, 33, 0, -1, 31, -7, -7, 24, -19, -1, 31, -4,H
6, -14, 28, 4, 32, 1, -2, 31, -6, -7, 24, -18, -1, 32, -4,H
6, -15, 28, 5, 32, 0, 0, 30, -8, -6, 24, -19, 0, 31, -4,H
6, -15, 28, 5, 32, 0, -1, 30, -7, -6, 24, -19, 0, 31, -4,H
6, -14, 27, 4, 33, 0, -2, 31, -6, -8, 24, -19, -2, 32, -4,H
6, -19, 26, 4, 32, 0, -1, 30, -8, -6, 24, -19, -1, 31, -4,H
6, -17, 25, 4, 32, 0, -1, 30, -7, -6, 24, -19, -1, 31, -4,H
5, -20, 24, 5, 32, -1, -1, 30, -8, -5, 24, -19, 0, 32, -5,H
3, -25, 22, 4, 32, 0, -1, 30, -8, -5, 24, -19, -1, 31, -4,H
2, -27, 20, 4, 32, 0, -1, 29, -7, -6, 24, -19, 0, 32, -5,H
2, -26, 18, 4, 32, 0, -1, 30, -7, -5, 24, -19, 0, 31, -5,H
1, -27, 18, 4, 32, 1, -1, 30, -7, -6, 24, -19, -1, 31, -4,H
2, -24, 19, 4, 32, 0, -1, 30, -7, -6, 24, -19, 0, 31, -4,H
2, -24, 20, 4, 32, 0, -1, 30, -7, -5, 24, -19, 0, 31, -4,H
2, -27, 19, 4, 32, 0, -1, 30, -8, -6, 24, -19, -1, 31, -4,H
1, -26, 20, 4, 32, 0, -1, 30, -7, -6, 24, -19, 0, 31, -4,H
2, -23, 20, 4, 32, -1, -1, 30, -8, -6, 24, -19, -1, 31, -4,H
2, -24, 20, 4, 33, 0, -3, 30, -6, -7, 24, -19, -1, 31, -4,H
2, -24, 20, 4, 32, 0, -2, 30, -7, -6, 24, -19, -1, 31, -4,H
1, -25, 21, 5, 31, 0, -1, 30, -8, -6, 23, -19, -1, 31, -4,H
0, -25, 21, 3, 33, 0, -3, 30, -7, -7, 24, -19, -1, 32, -5,H
1, -23, 21, 3, 32, -1, -2, 30, -9, -6, 24, -20, -1, 31, -5,H
2, -24, 21, 4, 32, 1, -3, 30, -7, -7, 24, -19, -1, 31, -4,H
3, -24, 20, 5, 30, 0, -1, 29, -7, -5, 23, -18, -1, 30, -5,H
1, -26, 22, 3, 35, 2, -4, 33, -6, -8, 26, -20, -2, 34, -4,H
2, -21, 21, 4, 31, -1, -2, 29, -8, -5, 23, -19, 0, 29, -4,H
2, -22, 22, 3, 32, 0, -2, 30, -8, -6, 24, -20, 0, 32, -5,H
0, -24, 22, 5, 30, -2, 0, 28, -10, -3, 23, -19, 2, 30, -3,H
2, -23, 23, 3, 33, 2, -3, 31, -7, -7, 24, -19, 0, 32, -4,H
1, -23, 24, 3, 34, 1, -2, 32, -9, -6, 25, -20, 0, 33, -4,H
3, -23, 22, 5, 31, 0, -1, 29, -9, -4, 24, -19, 2, 32, -4,H
4, -19, 23, 5, 29, -1, 0, 27, -8, -3, 22, -18, 2, 29, -3,H
3, -21, 25, 4, 32, -1, -2, 29, -8, -5, 24, -19, 1, 31, -4,H
0, -21, 27, 4, 33, -2, -2, 29, -12, -3, 23, -22, 3, 33, -6,H
5, -18, 24, 5, 29, 0, 0, 27, -8, -3, 22, -17, 2, 29, -3,H
6, -13, 28, 7, 32, -2, 1, 31, -8, -4, 26, -18, 1, 32, -2,H
9, -16, 27, 7, 30, -1, 2, 28, -7, -2, 25, -16, 3, 31, -1,H
4, -12, 31, 3, 35, -4, -3, 32, -13, -4, 26, -23, 3, 34, -6,H
2, -14, 31, 2, 34, -5, -4, 31, -14, -3, 25, -24, 3, 34, -7,H
7, -12, 28, 5, 31, -2, 0, 29, -10, -3, 24, -19, 3, 30, -3,H
7, -12, 27, 6, 30, -2, 1, 28, -10, -2, 24, -19, 4, 31, -3,H
8, -14, 27, 6, 31, -2, 1, 29, -8, -3, 25, -17, 2, 31, -1,H
6, -16, 29, 5, 33, -2, 0, 30, -10, -3, 26, -20, 3, 33, -4,H
7, -16, 26, 6, 32, -2, 0, 29, -9, -3, 25, -18, 2, 31, -3,H
6, -15, 26, 5, 32, -1, -1, 31, -9, -4, 25, -18, 1, 31, -2,H
7, -16, 23, 6, 31, 1, 1, 29, -7, -4, 25, -16, 1, 30, -1,H
7, -21, 23, 6, 31, 1, 0, 30, -6, -4, 25, -17, 1, 31, -1,H
6, -19, 25, 5, 32, 1, -1, 30, -8, -4, 25, -18, 1, 32, -2,H
6, -17, 28, 6, 31, -2, 1, 29, -12, -1, 24, -20, 4, 31, -4,H
8, -13, 24, 7, 27, -2, 2, 26, -9, -1, 22, -17, 3, 27, -2,H
5, -22, 33, 4, 39, -2, -2, 36, -13, -3, 30, -26, 5, 40, -6,H
11, -4, 24, 7, 25, -2, 2, 24, -7, -2, 20, -12, 2, 24, 2,H
5, -19, 34, 4, 36, -4, -2, 34, -14, -3, 28, -22, 3, 35, -5,H
6, -13, 31, 6, 30, -9, 1, 26, -17, 5, 23, -21, 9, 30, -4,H
3, 4, 33, 4, 33, -14, -2, 28, -19, 1, 22, -23, 8, 31, -7,H
6, -3, 30, 5, 31, -8, -1, 28, -15, 0, 23, -21, 5, 30, -5,H
5, -17, 32, 4, 33, -5, -1, 28, -16, 3, 23, -27, 11, 36, -10,H
6, -9, 30, 6, 32, -7, 1, 27, -16, 2, 23, -23, 8, 32, -6,H
6, -8, 30, 5, 33, -4, 0, 30, -13, -2, 25, -19, 3, 31, -1,H
6, -7, 30, 8, 32, -7, 2, 29, -15, -1, 24, -20, 3, 30, -3,H
8, -18, 28, 6, 28, -2, 2, 25, -11, 1, 22, -21, 8, 31, -5,H
9, -20, 28, 6, 30, 1, 0, 28, -8, -2, 25, -17, 5, 33, -1,H
8, -14, 27, 6, 32, -1, 0, 30, -10, -5, 24, -18, 0, 30, 0,H
8, -11, 27, 6, 31, -2, 0, 29, -9, -4, 24, -17, 0, 30, 1,H
8, -16, 27, 4, 30, 3, -1, 28, -6, -5, 23, -17, 1, 30, -2,H
6, -27, 25, 5, 31, 2, 0, 30, -8, -5, 25, -18, 1, 33, -1,H
6, -19, 27, 5, 33, 0, 0, 31, -10, -5, 25, -19, 1, 33, -3,H
6, -19, 25, 6, 32, 0, 0, 31, -10, -5, 25, -19, 0, 32, -1,H
6, -19, 26, 4, 32, 4, -1, 31, -6, -8, 25, -17, -1, 32, -1,H
6, -20, 25, 6, 31, 3, 1, 30, -6, -8, 24, -16, -2, 31, -1,H
6, -19, 25, 8, 31, -1, 2, 30, -8, -7, 23, -17, -2, 30, -2,H
6, -17, 25, 6, 32, 4, 0, 31, -5, -8, 25, -15, -3, 30, 0,H
6, -19, 25, 7, 31, 3, 2, 30, -7, -7, 24, -18, -1, 31, -3,H
6, -18, 26, 7, 32, 2, 1, 31, -7, -7, 24, -17, -2, 32, -3,H
6, -17, 26, 6, 33, 3, 0, 32, -5, -9, 26, -16, -4, 32, -1,H
6, -19, 26, 7, 32, 2, 1, 31, -6, -7, 24, -18, -2, 31, -3,H
6, -16, 25, 6, 31, 3, 0, 31, -5, -9, 25, -16, -3, 31, -1,H
5, -18, 26, 6, 32, 3, 0, 31, -5, -8, 25, -16, -3, 32, -1,H
6, -18, 26, 7, 31, 2, 1, 30, -7, -7, 24, -17, -3, 31, -3,H
6, -18, 26, 6, 31, 2, 1, 30, -6, -7, 24, -17, -2, 31, -3,H
6, -16, 26, 6, 32, 2, 1, 31, -6, -8, 24, -17, -3, 31, -2,H
6, -18, 26, 6, 31, 2, 1, 30, -6, -8, 24, -17, -2, 31, -2,H
6, -18, 27, 6, 32, 3, 0, 31, -5, -8, 25, -16, -3, 31, -2,H
6, -19, 26, 7, 32, 1, 1, 31, -7, -6, 24, -17, -2, 31, -3,H
6, -18, 26, 6, 31, 3, 0, 30, -6, -7, 24, -17, -2, 31, -2,H
6, -17, 26, 6, 32, 3, 0, 31, -6, -6, 26, -17, -1, 30, 0,H
6, -22, 26, 7, 31, 1, 1, 30, -7, -7, 24, -17, -2, 31, -2,H
6, -20, 25, 7, 31, 1, 1, 30, -7, -7, 24, -17, -2, 31, -2,H
6, -19, 25, 7, 31, 1, 1, 30, -7, -6, 24, -17, -2, 31, -3,H
6, -20, 25, 6, 32, 2, 0, 31, -7, -7, 25, -17, -3, 31, -2,H
5, -22, 24, 7, 31, 1, 1, 30, -6, -6, 24, -17, -1, 31, -2,H
5, -23, 24, 7, 32, 1, 1, 30, -7, -6, 25, -18, -1, 32, -3,H
5, -22, 23, 7, 31, 0, 2, 30, -8, -5, 25, -18, -1, 32, -3,H
5, -21, 22, 6, 31, 2, 0, 30, -6, -6, 24, -17, -1, 31, -2,H
4, -23, 22, 6, 32, 3, 0, 31, -5, -8, 25, -16, -3, 32, -2,H
3, -24, 22, 6, 33, 3, -1, 31, -6, -8, 25, -18, -2, 32, -3,H
5, -20, 22, 6, 29, 2, 0, 28, -5, -9, 22, -16, -6, 29, -4,H
4, -21, 23, 6, 31, 1, 0, 30, -6, -7, 24, -16, -3, 31, -2,H
6, -21, 23, 7, 30, 1, 2, 30, -6, -6, 24, -16, -2, 31, -1,H
5, -21, 23, 7, 31, 2, 1, 30, -6, -7, 25, -16, -3, 30, -1,H
3, -23, 24, 6, 33, 2, 0, 32, -6, -8, 26, -18, -3, 32, -2,H
5, -21, 23, 6, 31, 2, 0, 30, -6, -7, 24, -16, -2, 31, -2,H
4, -22, 24, 5, 33, 1, 0, 31, -7, -7, 25, -18, -2, 32, -3,H
4, -22, 23, 6, 31, 1, 0, 30, -7, -6, 24, -17, -2, 31, -2,H
4, -23, 22, 6, 31, 2, 0, 30, -6, -7, 24, -17, -2, 31, -3,H
4, -23, 22, 5, 32, 3, -1, 31, -6, -8, 25, -17, -3, 32, -3,H
5, -21, 22, 6, 31, 2, 0, 30, -6, -7, 24, -16, -3, 30, -1,H
3, -23, 24, 5, 34, 1, -1, 32, -8, -7, 26, -18, -2, 33, -3,H
6, -22, 21, 7, 30, 3, 1, 30, -5, -7, 25, -15, -3, 30, 0,H
4, -22, 22, 5, 32, 1, -1, 31, -6, -7, 25, -17, -3, 31, -2,H
4, -24, 22, 6, 33, 2, -1, 32, -6, -8, 26, -17, -3, 32, -2,H
4, -22, 21, 6, 31, 2, 0, 30, -6, -7, 25, -17, -2, 30, -2,H
4, -23, 21, 5, 32, 2, 0, 30, -6, -7, 25, -17, -3, 31, -2,H
3, -24, 22, 5, 32, 1, -1, 31, -7, -7, 25, -19, -2, 32, -3,H
4, -22, 23, 5, 32, 1, -1, 30, -8, -7, 24, -18, -2, 32, -3,H
3, -23, 23, 5, 32, 0, -1, 30, -7, -7, 24, -18, -2, 32, -3,H
4, -23, 22, 5, 32, 2, -1, 31, -7, -7, 25, -18, -3, 31, -2,H
3, -23, 23, 4, 34, 1, -2, 32, -8, -7, 25, -19, -2, 33, -4,H
5, -22, 20, 7, 31, 1, 1, 29, -6, -7, 24, -16, -2, 30, -1,H
4, -25, 20, 5, 32, 4, -1, 31, -5, -8, 25, -16, -3, 32, -2,H
3, -23, 19, 5, 31, 4, -1, 31, -4, -8, 25, -16, -3, 30, -2,H
2, -28, 20, 4, 32, 3, -1, 31, -6, -8, 25, -18, -4, 32, -2,H
1, -28, 19, 4, 32, 3, -2, 31, -5, -9, 24, -17, -4, 32, -2,H
2, -24, 17, 5, 32, 3, -1, 30, -5, -8, 25, -16, -4, 31, -2,H
3, -27, 15, 5, 32, 5, -1, 31, -4, -10, 25, -16, -6, 31, -1,H
1, -26, 17, 5, 31, 3, 0, 30, -5, -8, 25, -16, -4, 31, -2,H
1, -27, 16, 4, 31, 4, -1, 31, -5, -8, 25, -16, -4, 31, -2,H
1, -28, 16, 5, 33, 5, -1, 31, -4, -9, 26, -16, -4, 32, -1,H
-1, -28, 18, 3, 31, 6, -2, 30, -4, -8, 24, -16, -4, 32, -2,H
1, -27, 16, 5, 32, 3, 0, 31, -5, -8, 25, -16, -4, 31, -1,H
0, -25, 18, 5, 32, 2, -1, 32, -5, -9, 25, -17, -4, 31, -2,H
2, -25, 17, 5, 31, 5, -1, 31, -4, -9, 24, -15, -5, 30, -1,H
2, -26, 18, 5, 32, 5, -2, 32, -4, -10, 26, -16, -5, 32, -1,H
2, -25, 19, 6, 31, 3, 0, 30, -5, -8, 24, -16, -3, 30, -2,H
2, -25, 18, 6, 31, 3, 0, 30, -5, -8, 25, -17, -4, 31, -2,H
2, -26, 18, 5, 32, 4, -1, 31, -4, -9, 25, -16, -5, 31, -2,H
2, -25, 19, 5, 31, 3, -1, 30, -5, -8, 25, -16, -4, 31, -1,H
1, -26, 19, 5, 32, 5, 0, 30, -4, -8, 25, -16, -3, 33, -1,H
1, -28, 18, 6, 31, 3, 0, 30, -4, -8, 24, -16, -4, 30, -2,H
1, -26, 16, 6, 31, 4, 0, 31, -4, -8, 25, -16, -5, 31, -2,H
0, -27, 16, 5, 32, 4, -1, 31, -4, -9, 25, -16, -5, 31, -2,H
1, -28, 15, 5, 31, 5, -1, 31, -4, -9, 25, -16, -5, 31, -1,H
0, -29, 16, 5, 31, 5, -1, 31, -4, -9, 25, -16, -5, 30, -2,H
1, -27, 16, 5, 31, 4, 0, 31, -4, -9, 25, -16, -5, 31, -1,H
2, -28, 15, 5, 32, 4, -1, 31, -4, -9, 25, -16, -4, 31, -2,H
2, -26, 15, 5, 32, 4, 0, 31, -4, -9, 25, -16, -4, 31, -2,H
0, -28, 15, 5, 32, 5, 0, 31, -4, -9, 25, -16, -5, 31, -2,H
1, -26, 16, 5, 32, 4, -1, 31, -4, -9, 25, -16, -5, 31, -2,H
2, -27, 16, 6, 31, 5, 0, 31, -4, -9, 25, -15, -5, 31, -1,H
2, -26, 17, 5, 31, 5, -1, 31, -4, -9, 25, -14, -5, 31, -1,H
3, -24, 18, 5, 32, 3, -1, 31, -5, -8, 25, -16, -4, 31, -2,H
4, -26, 19, 5, 32, 5, -1, 31, -4, -9, 25, -16, -4, 31, -2,H
4, -24, 21, 6, 31, 1, 1, 30, -6, -7, 25, -16, -3, 31, -2,H
