acc1,acc2,acc3,acc4,acc5,acc6,acc7,acc8,acc9,acc10,acc11,acc12,acc13,acc14,acc15,simbology
31, -12, -6, 29, -6, 15, 30, 1, 15, 30, 5, 11, 30, 1, 13,B
31, -11, -5, 29, -6, 14, 30, 1, 14, 30, 5, 10, 30, 2, 14,B
32, -10, -7, 28, -7, 16, 29, 0, 16, 30, 5, 11, 30, 1, 14,B
31, -10, -10, 27, -9, 17, 28, -1, 17, 30, 3, 12, 29, 5, 14,B
30, -11, -10, 27, -11, 15, 29, -2, 16, 30, 3, 11, 30, 6, 13,B
30, -10, -9, 27, -14, 12, 29, -2, 16, 30, 3, 11, 30, 6, 13,B
30, -10, -10, 26, -16, 10, 29, -3, 15, 31, 2, 11, 30, 4, 13,B
29, -10, -10, 26, -15, 11, 29, -4, 15, 31, 2, 10, 30, 4, 13,B
30, -10, -11, 26, -15, 14, 29, -4, 17, 30, 2, 13, 31, 0, 13,B
30, -10, -10, 27, -11, 14, 28, -4, 18, 29, 3, 12, 30, -2, 13,B
30, -10, -12, 26, -14, 15, 28, -4, 17, 30, 2, 12, 31, 0, 12,B
30, -11, -12, 25, -14, 16, 28, -4, 18, 30, 3, 11, 27, -5, 16,B
29, -11, -11, 25, -13, 17, 27, -3, 19, 29, 2, 13, 30, -1, 13,B
30, -9, -10, 25, -11, 19, 27, -1, 19, 30, 3, 13, 30, -1, 14,B
30, -11, -11, 25, -8, 20, 26, 1, 21, 29, 5, 14, 29, -2, 15,B
30, -9, -11, 27, -5, 18, 27, 3, 19, 28, 7, 14, 29, -1, 16,B
30, -10, -13, 28, -6, 17, 28, 3, 18, 29, 6, 14, 29, -1, 16,B
30, -10, -10, 28, -5, 17, 28, 3, 17, 30, 7, 12, 30, 0, 15,B
31, -9, -8, 27, -5, 17, 27, 3, 17, 29, 6, 13, 30, 1, 14,B
31, -12, -6, 27, -4, 17, 28, 4, 18, 29, 8, 13, 29, 1, 15,B
30, -13, -6, 28, -3, 17, 28, 4, 17, 29, 8, 13, 30, 2, 15,B
30, -11, -9, 27, -5, 18, 28, 3, 18, 29, 7, 13, 29, 2, 15,B
30, -10, -11, 27, -4, 17, 27, 4, 17, 29, 7, 12, 30, 0, 18,B
29, -11, -12, 28, -6, 18, 28, 3, 18, 29, 7, 13, 29, 2, 15,B
28, -10, -12, 28, -5, 17, 27, 3, 17, 29, 7, 13, 29, 3, 15,B
30, -10, -11, 27, -4, 17, 27, 4, 18, 29, 8, 13, 29, 3, 16,B
31, -12, -11, 28, -4, 18, 28, 4, 18, 29, 7, 14, 29, 3, 16,B
30, -10, -10, 28, -4, 17, 28, 3, 17, 29, 7, 13, 29, 3, 16,B
29, -10, -9, 28, -4, 17, 28, 4, 17, 29, 7, 12, 29, 3, 15,B
30, -11, -8, 27, -4, 17, 27, 4, 18, 29, 8, 13, 29, 3, 15,B
30, -10, -8, 27, -4, 18, 27, 4, 18, 28, 8, 14, 29, 3, 16,B
31, -11, -8, 27, -3, 17, 27, 4, 17, 29, 8, 13, 29, 3, 16,B
30, -11, -8, 27, -4, 18, 27, 4, 18, 29, 8, 14, 29, 3, 16,B
30, -11, -7, 27, -3, 17, 27, 5, 18, 28, 8, 14, 29, 4, 15,B
30, -11, -6, 28, -3, 17, 27, 5, 18, 29, 8, 13, 29, 3, 15,B
29, -12, -9, 28, -4, 17, 28, 4, 18, 29, 7, 13, 29, 4, 15,B
30, -10, -12, 27, -4, 17, 27, 4, 18, 29, 7, 13, 29, 3, 15,B
31, -11, -8, 28, -4, 16, 28, 4, 17, 29, 7, 12, 30, 3, 15,B
11, -25, -15, 14, 5, 29, 16, 13, 26, 22, 18, 17, 20, 9, 25,C
10, -27, -14, 14, 4, 29, 16, 12, 26, 22, 17, 16, 20, 9, 25,C
9, -27, -14, 14, 3, 30, 16, 12, 26, 22, 17, 17, 20, 8, 25,C
9, -25, -14, 14, 3, 29, 16, 12, 26, 23, 17, 16, 20, 9, 25,C
9, -27, -12, 14, 3, 29, 16, 12, 26, 21, 17, 17, 19, 8, 25,C
9, -27, -14, 14, 3, 30, 16, 12, 26, 22, 17, 17, 20, 8, 25,C
11, -27, -15, 15, 3, 30, 17, 11, 26, 23, 17, 17, 20, 9, 25,C
10, -26, -14, 14, 4, 30, 16, 12, 27, 22, 17, 17, 19, 9, 25,C
9, -26, -15, 14, 4, 30, 17, 12, 26, 22, 17, 16, 20, 9, 25,C
6, -28, -12, 14, 3, 29, 17, 12, 25, 22, 17, 15, 20, 9, 25,C
5, -27, -15, 14, 3, 30, 15, 12, 26, 21, 19, 17, 18, 9, 26,C
6, -25, -19, 14, 4, 30, 15, 13, 27, 21, 19, 16, 19, 10, 25,C
6, -24, -20, 14, 4, 30, 15, 13, 27, 21, 19, 16, 18, 10, 25,C
6, -24, -20, 14, 5, 30, 15, 14, 26, 21, 19, 16, 18, 11, 24,C
6, -24, -19, 13, 4, 30, 15, 14, 27, 21, 19, 17, 18, 10, 26,C
6, -26, -16, 13, 4, 30, 15, 14, 25, 21, 19, 16, 18, 11, 26,C
6, -27, -15, 14, 4, 29, 15, 14, 25, 21, 19, 16, 18, 10, 26,C
5, -30, -12, 13, 3, 30, 16, 13, 25, 21, 18, 15, 18, 10, 24,C
5, -27, -14, 13, 4, 30, 15, 15, 26, 21, 20, 16, 17, 11, 26,C
5, -29, -11, 14, 4, 29, 16, 15, 25, 21, 20, 15, 18, 11, 25,C
6, -27, -13, 14, 5, 29, 15, 15, 25, 21, 19, 16, 18, 11, 25,C
6, -28, -14, 14, 4, 30, 14, 15, 26, 20, 20, 16, 17, 11, 25,C
6, -29, -14, 13, 4, 30, 14, 14, 26, 20, 20, 16, 17, 11, 26,C
6, -27, -16, 12, 5, 30, 13, 14, 26, 20, 20, 16, 17, 11, 25,C
6, -26, -16, 12, 6, 30, 13, 15, 27, 19, 20, 17, 17, 11, 26,C
6, -27, -16, 11, 6, 30, 12, 14, 27, 19, 19, 17, 16, 11, 25,C
6, -26, -17, 12, 6, 30, 12, 14, 27, 19, 20, 18, 16, 11, 26,C
6, -26, -15, 13, 7, 29, 14, 15, 26, 20, 20, 16, 17, 11, 25,C
7, -26, -17, 14, 5, 29, 15, 14, 25, 21, 19, 16, 18, 11, 25,C
6, -27, -15, 14, 6, 30, 15, 15, 26, 21, 20, 16, 18, 11, 25,C
7, -26, -17, 14, 5, 30, 15, 14, 26, 21, 19, 16, 18, 10, 25,C
7, -26, -17, 15, 5, 29, 16, 14, 25, 21, 19, 16, 18, 11, 25,C
7, -26, -16, 15, 5, 29, 16, 13, 25, 21, 18, 15, 18, 11, 24,C
8, -25, -16, 15, 6, 28, 16, 14, 25, 22, 19, 15, 19, 11, 24,C
7, -25, -17, 13, 6, 29, 13, 15, 26, 22, 18, 17, 19, 9, 25,C
8, -26, -16, 14, 5, 29, 15, 13, 26, 21, 18, 16, 18, 11, 24,C
8, -26, -17, 15, 6, 29, 15, 14, 26, 22, 19, 16, 18, 11, 25,C
7, -24, -17, 15, 6, 28, 16, 13, 25, 22, 18, 16, 18, 10, 25,C
6, -26, -19, 14, 6, 29, 15, 14, 25, 21, 19, 15, 18, 11, 24,C
6, -28, -16, 15, 5, 30, 16, 15, 25, 21, 19, 16, 18, 10, 26,C
6, -27, -15, 15, 6, 29, 17, 15, 24, 21, 20, 14, 18, 12, 24,C
7, -25, -17, 15, 6, 28, 16, 15, 24, 21, 20, 15, 18, 12, 25,C
7, -25, -18, 14, 6, 29, 15, 15, 25, 21, 20, 15, 18, 12, 24,C
7, -26, -18, 14, 6, 28, 15, 15, 25, 20, 20, 15, 17, 11, 25,C
7, -26, -17, 15, 7, 28, 16, 14, 25, 21, 20, 15, 18, 11, 24,C
29, -10, -13, 32, -4, 6, 20, 12, 23, 21, 13, 22, 22, 8, 23,D
29, -11, -13, 32, -3, 6, 21, 11, 23, 20, 13, 22, 22, 8, 23,D
